USB2CAN&LIN Display List File V2.0,,,,,,,,
Frame No. ,ID[PID],Data(Hex),Chk(Hex),Chk Mode,Data Type,Timestamp,Channel No. ,Events
1,,,,,Sync break,0,LIN1,
2,,,,,Sync break,0.113,LIN1,
3,0A [CA],00 45 00 00 00 08 01 00,E6,Enhanced,Slave response,0.151,LIN1,
4,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,0.161,LIN1,
5,0A [CA],00 46 00 00 00 08 01 00,E5,Enhanced,Slave response,0.171,LIN1,
6,2E [2E],00 00 80 3D 00 0C 00 00,08,Enhanced,Slave response,0.181,LIN1,
7,0A [CA],00 47 00 00 00 08 01 00,E4,Enhanced,Slave response,0.191,LIN1,
8,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,0.201,LIN1,
9,0A [CA],00 48 00 00 00 08 01 00,E3,Enhanced,Slave response,0.211,LIN1,
10,2F [6F],00 00 01 00 82 FF FF FF,0D,Enhanced,Slave response,0.221,LIN1,
11,0A [CA],00 49 00 00 00 08 01 00,E2,Enhanced,Slave response,0.23,LIN1,
12,0D [0D],,,,Slave response,0.24,LIN1,SLAVE NO RESPONSE
13,0A [CA],00 4A 00 00 00 08 01 00,E1,Enhanced,Slave response,0.25,LIN1,
14,2E [2E],00 00 80 3D 00 0C 00 00,08,Enhanced,Slave response,0.26,LIN1,
15,0A [CA],00 4B 00 00 00 08 01 00,E0,Enhanced,Slave response,0.27,LIN1,
16,0E [8E],,,,Slave response,0.28,LIN1,SLAVE NO RESPONSE
17,0A [CA],00 4C 00 00 00 08 01 00,DF,Enhanced,Slave response,0.29,LIN1,
18,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.3,LIN1,
19,0A [CA],00 4D 00 00 00 08 01 00,DE,Enhanced,Slave response,0.31,LIN1,
20,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,0.319,LIN1,
21,0A [CA],00 4E 00 00 00 08 01 00,DD,Enhanced,Slave response,0.329,LIN1,
22,2E [2E],00 00 80 3D 00 0C 00 00,08,Enhanced,Slave response,0.339,LIN1,
23,0A [CA],00 4F 00 00 00 08 01 00,DC,Enhanced,Slave response,0.349,LIN1,
24,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,0.359,LIN1,
25,0A [CA],00 40 00 00 00 08 01 00,EB,Enhanced,Slave response,0.369,LIN1,
26,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.379,LIN1,
27,0A [CA],00 41 00 00 00 08 01 00,EA,Enhanced,Slave response,0.389,LIN1,
28,0D [0D],,,,Slave response,0.398,LIN1,SLAVE NO RESPONSE
29,0A [CA],00 42 00 00 00 08 01 00,E9,Enhanced,Slave response,0.408,LIN1,
30,2E [2E],00 00 80 3D 00 0C 00 00,08,Enhanced,Slave response,0.418,LIN1,
31,0A [CA],00 43 00 00 00 08 01 00,E8,Enhanced,Slave response,0.428,LIN1,
32,0E [8E],,,,Slave response,0.438,LIN1,SLAVE NO RESPONSE
33,0A [CA],00 44 00 00 00 08 01 00,E7,Enhanced,Slave response,0.448,LIN1,
34,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.458,LIN1,
35,0A [CA],00 45 00 00 00 08 01 00,E6,Enhanced,Slave response,0.468,LIN1,
36,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,0.478,LIN1,
37,0A [CA],00 46 00 00 00 08 01 00,E5,Enhanced,Slave response,0.487,LIN1,
38,2E [2E],00 00 80 3D 00 0C 00 00,08,Enhanced,Slave response,0.497,LIN1,
