USB2CAN&LIN Display List File V2.0,,,,,,,,
Frame No. ,ID[PID],Data(Hex),Chk(Hex),Chk Mode,Data Type,Timestamp,Channel No. ,Events
1,,,,,Sync break,0,LIN1,
2,,,,,Sync break,0.06,LIN1,
3,0A [CA],00 48 00 00 00 08 01 00,E3,Enhanced,Slave response,0.108,LIN1,
4,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,0.118,LIN1,
5,0A [CA],00 49 00 00 00 08 01 00,E2,Enhanced,Slave response,0.128,LIN1,
6,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,0.138,LIN1,
7,0A [CA],00 4A 00 00 00 08 01 00,E1,Enhanced,Slave response,0.148,LIN1,
8,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,0.158,LIN1,
9,0A [CA],00 4B 00 00 00 08 01 00,E0,Enhanced,Slave response,0.168,LIN1,
10,2F [6F],00 00 01 00 82 FF FF FF,0D,Enhanced,Slave response,0.177,LIN1,
11,0A [CA],00 4C 00 00 00 08 01 00,DF,Enhanced,Slave response,0.187,LIN1,
12,0D [0D],,,,Slave response,0.197,LIN1,SLAVE NO RESPONSE
13,0A [CA],00 4D 00 00 00 08 01 00,DE,Enhanced,Slave response,0.207,LIN1,
14,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,0.217,LIN1,
15,0A [CA],00 4E 00 00 00 08 01 00,DD,Enhanced,Slave response,0.227,LIN1,
16,0E [8E],,,,Slave response,0.237,LIN1,SLAVE NO RESPONSE
17,0A [CA],00 4F 00 00 00 08 01 00,DC,Enhanced,Slave response,0.247,LIN1,
18,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.256,LIN1,
19,0A [CA],00 40 00 00 00 08 01 00,EB,Enhanced,Slave response,0.266,LIN1,
20,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,0.276,LIN1,
21,0A [CA],00 41 00 00 00 08 01 00,EA,Enhanced,Slave response,0.286,LIN1,
22,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,0.296,LIN1,
23,0A [CA],00 42 00 00 00 08 01 00,E9,Enhanced,Slave response,0.306,LIN1,
24,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,0.316,LIN1,
25,0A [CA],00 43 00 00 00 08 01 00,E8,Enhanced,Slave response,0.326,LIN1,
26,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.336,LIN1,
27,0A [CA],00 44 00 00 00 08 01 00,E7,Enhanced,Slave response,0.345,LIN1,
28,0D [0D],,,,Slave response,0.355,LIN1,SLAVE NO RESPONSE
29,0A [CA],00 45 00 00 00 08 01 00,E6,Enhanced,Slave response,0.365,LIN1,
30,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,0.375,LIN1,
31,0A [CA],00 46 00 00 00 08 01 00,E5,Enhanced,Slave response,0.385,LIN1,
32,0E [8E],,,,Slave response,0.395,LIN1,SLAVE NO RESPONSE
33,0A [CA],00 47 00 00 00 08 01 00,E4,Enhanced,Slave response,0.405,LIN1,
34,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.415,LIN1,
35,0A [CA],00 48 00 00 00 08 01 00,E3,Enhanced,Slave response,0.425,LIN1,
36,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,0.434,LIN1,
37,0A [CA],00 49 00 00 00 08 01 00,E2,Enhanced,Slave response,0.444,LIN1,
38,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,0.454,LIN1,
39,0A [CA],00 4A 00 00 00 08 01 00,E1,Enhanced,Slave response,0.464,LIN1,
40,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,0.474,LIN1,
41,0A [CA],00 4B 00 00 00 08 01 00,E0,Enhanced,Slave response,0.484,LIN1,
42,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.494,LIN1,
43,0A [CA],00 4C 00 00 00 08 01 00,DF,Enhanced,Slave response,0.504,LIN1,
44,0D [0D],,,,Slave response,0.513,LIN1,SLAVE NO RESPONSE
45,0A [CA],00 4D 00 00 00 08 01 00,DE,Enhanced,Slave response,0.523,LIN1,
46,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,0.533,LIN1,
47,0A [CA],00 4E 00 00 00 08 01 00,DD,Enhanced,Slave response,0.543,LIN1,
48,0E [8E],,,,Slave response,0.553,LIN1,SLAVE NO RESPONSE
49,0A [CA],00 4F 00 00 00 08 01 00,DC,Enhanced,Slave response,0.563,LIN1,
50,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.573,LIN1,
51,0A [CA],00 40 00 00 00 08 01 00,EB,Enhanced,Slave response,0.583,LIN1,
52,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,0.592,LIN1,
53,0A [CA],00 41 00 00 00 08 01 00,EA,Enhanced,Slave response,0.602,LIN1,
54,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,0.612,LIN1,
55,0A [CA],00 42 00 00 00 08 01 00,E9,Enhanced,Slave response,0.622,LIN1,
56,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,0.632,LIN1,
57,0A [CA],00 43 00 00 00 08 01 00,E8,Enhanced,Slave response,0.642,LIN1,
58,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.652,LIN1,
59,0A [CA],00 44 00 00 00 08 01 00,E7,Enhanced,Slave response,0.662,LIN1,
60,0D [0D],,,,Slave response,0.672,LIN1,SLAVE NO RESPONSE
61,0A [CA],00 45 00 00 00 08 01 00,E6,Enhanced,Slave response,0.681,LIN1,
62,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,0.691,LIN1,
63,0A [CA],00 46 00 00 00 08 01 00,E5,Enhanced,Slave response,0.701,LIN1,
64,0E [8E],,,,Slave response,0.711,LIN1,SLAVE NO RESPONSE
65,0A [CA],00 47 00 00 00 08 01 00,E4,Enhanced,Slave response,0.721,LIN1,
66,2F [6F],00 00 03 00 82 FF FF FF,0B,Enhanced,Slave response,0.731,LIN1,
67,0A [CA],00 48 00 00 00 08 01 00,E3,Enhanced,Slave response,0.741,LIN1,
68,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,0.751,LIN1,
69,0A [CA],00 49 00 00 00 08 01 00,E2,Enhanced,Slave response,0.761,LIN1,
70,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,0.77,LIN1,
